60
============================================================================

                  KPP Standalone Atmospheric Chemical State
File Description:
This file contains model output of the atmospheric chemical state
as simulated by the GEOS-Chem chemistry module in a 3D setting.
Each grid cell represents the chemical state of an individual location,
suitable for input into a separate KPP Standalone program which will
replicate the chemical evolution of that grid cell for mechanism analysis.
Note that the KPP Standalone will only use concentrations, rate constants,
and KPP-specific fields. All other fields are for reference. The first line
contains the number of lines in this header. If wanting to use this output
for other analysis, a Python class to read these fields is available by
request, contact Obin Sturm (psturm@usc.edu).

Generated by the GEOS-Chem Model
       (https://geos-chem.org/)
Using the KPP Standalone Interface
github.com/GEOS-ESM/geos-chem/tree/feature/psturm/kpp_standalone_interface
     With contributions from:
        Obin Sturm (psturm@usc.edu)
        Christoph Keller
        Michael Long
        Sam Silva

Meteorological and general grid cell metadata    

Location:                                        Beijing
Timestamp:                                       2019/07/01 00:40
Longitude (degrees):                                115.0000
Latitude (degrees):                                  38.0000
GEOS-Chem Vertical Level:                             1
Pressure (hPa):                                     947.7906
Temperature (K):                                      300.29
Dry air density (molec/cm3):                      0.2273E+20
Water vapor mixing ratio (vol H2O/vol dry air):   0.9784E-02
Cloud fraction:                                   0.0000E+00
Cosine of solar zenith angle:                     0.6833E+00

KPP Integrator-specific parameters               

Init KPP Timestep (seconds):                        655.3846
Exit KPP Timestep (seconds):                        497.8023
Chemistry operator timestep (seconds):             1200.0000
Number of internal timesteps:                        12
ICNTRL integrator options used:
     1     0     4     0     0     0     1     0     0     0
     0     0     0   345    -1     0     0     0     0     0
RCNTRL integrator options used:
     0.000000     0.000000   655.384583     0.000000     0.000000
     0.000000     0.000000     0.000000     0.000000     0.000000
     0.000000     0.000000     0.000000     0.000050     0.000000
     0.000000     0.000000     0.000000     0.000000     0.000000

CSV data of full chemical state, including species concentrations,
rate constants (R) and instantaneous reaction rates (A).
All concentration units are in molec/cm3 and rates in molec/cm3/s.

============================================================================
Name,   Value,   Absolute Tolerance
CH2I2,  5.5795131181429060E+003,  1.00E-02
CH2IBr,  4.3058784543143141E+004,  1.00E-02
CH2ICl,  5.5586470050798717E+005,  1.00E-02
AERI,  1.0841380712659929E+007,  1.00E-02
AONITA,  1.0756999756272936E+009,  1.00E-02
BUTDI,  2.0521957403904362E+010,  1.00E-02
CO2,  6.2986263938880850E+015,  1.00E-02
INDIOL,  8.5404927317231159E+009,  1.00E-02
ISALA,  2.4338021187013006E+005,  1.00E-02
ISALC,  2.6104417058378171E+004,  1.00E-02
LBRO2H,  0.0000000000000000E+000,  1.00E+25
LBRO2N,  0.0000000000000000E+000,  1.00E+25
BRO2,  1.9556698237518425E+005,  1.00E-02
LISOPOH,  0.0000000000000000E+000,  1.00E+25
LISOPNO3,  0.0000000000000000E+000,  1.00E+25
LNRO2H,  0.0000000000000000E+000,  1.00E+25
LNRO2N,  0.0000000000000000E+000,  1.00E-02
NRO2,  0.0000000000000000E+000,  1.00E-02
NAP,  0.0000000000000000E+000,  1.00E-02
LTRO2H,  0.0000000000000000E+000,  1.00E+25
LTRO2N,  0.0000000000000000E+000,  1.00E+25
TRO2,  1.0283719975454699E+006,  1.00E-02
LVOCOA,  6.8033361361496121E+007,  1.00E-02
LVOC,  3.0086204287679073E+004,  1.00E-02
LXRO2H,  0.0000000000000000E+000,  1.00E+25
LXRO2N,  0.0000000000000000E+000,  1.00E+25
XRO2,  2.3017259552634773E+006,  1.00E-02
MSA,  2.8538716083086401E+007,  1.00E-02
SO4s,  6.8539036193145890E+004,  1.00E-02
SOAGX,  2.8539065692474818E+009,  1.00E-02
SOAIE,  8.3587004787814581E+008,  1.00E-02
PH2SO4,  0.0000000000000000E+000,  1.00E-02
PSO4AQ,  0.0000000000000000E+000,  1.00E-02
POx,  0.0000000000000000E+000,  1.00E+25
LOx,  0.0000000000000000E+000,  1.00E+25
PCO,  0.0000000000000000E+000,  1.00E+25
