! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.0.0-rc.3.flux symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gckpp_BiadjacencyMatrix.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name, species index (row), reaction index (col), stoichiometric coefficient
LOx, 32, 1, 1.000000
PSO4, 35, 1, 1.000000
SO4, 108, 1, 1.000000
SALAAL, 144, 1, -2.000000
O3, 269, 1, -1.000000
SO2, 286, 1, -1.000000
SALAAL, 144, 2, -1.000000
HCl, 271, 2, -1.000000
SALACL, 278, 2, 1.000000
NIT, 58, 3, 1.000000
SALAAL, 144, 3, -1.000000
HNO3, 260, 3, -1.000000
SO4s, 28, 4, 1.000000
LOx, 32, 4, 1.000000
SALCAL, 135, 4, -2.000000
O3, 269, 4, -1.000000
SO2, 286, 4, -1.000000
SALCAL, 135, 5, -1.000000
HCl, 271, 5, -1.000000
SALCCL, 282, 5, 1.000000
NITs, 59, 6, 1.000000
SALCAL, 135, 6, -1.000000
HNO3, 260, 6, -1.000000
PSO4, 35, 7, 1.000000
SO4, 108, 7, 1.000000
H2O2, 208, 7, -1.000000
SO2, 286, 7, -1.000000
LOx, 32, 8, 1.000000
PSO4, 35, 8, 1.000000
SO4, 108, 8, 1.000000
O3, 269, 8, -1.000000
SO2, 286, 8, -1.000000
PSO4, 35, 9, 1.000000
SO4, 108, 9, 1.000000
SO2, 286, 9, -1.000000
HMS, 85, 10, 1.000000
CH2O, 262, 10, -1.000000
SO2, 286, 10, -1.000000
HMS, 85, 11, -1.000000
CH2O, 262, 11, 1.000000
SO2, 286, 11, 1.000000
PSO4, 35, 12, 2.000000
HMS, 85, 12, -1.000000
SO4, 108, 12, 2.000000
CH2O, 262, 12, 1.000000
OH, 279, 12, -1.000000
SO2, 286, 12, -1.000000
LOx, 32, 13, 1.000000
O3, 269, 13, -1.000000
NO2, 270, 13, 1.000000
NO, 280, 13, -1.000000
LOx, 32, 14, 1.000000
O3, 269, 14, -1.000000
OH, 279, 14, -1.000000
HO2, 281, 14, 1.000000
LOx, 32, 15, 1.000000
O3, 269, 15, -1.000000
OH, 279, 15, 1.000000
HO2, 281, 15, -1.000000
LOx, 32, 16, 1.000000
O3, 269, 16, -1.000000
NO2, 270, 16, -1.000000
NO3, 283, 16, 1.000000
LOx, 32, 17, 1.000000
CH2O, 262, 17, 1.000000
MO2, 263, 17, -1.000000
O3, 269, 17, -1.000000
HO2, 281, 17, 1.000000
H2O, 273, 18, 1.000000
OH, 279, 18, -2.000000
O, 284, 18, 1.000000
PH2O2, 37, 19, 1.000000
H2O2, 208, 19, 1.000000
OH, 279, 19, -2.000000
H2O, 273, 20, 1.000000
OH, 279, 20, -1.000000
HO2, 281, 20, -1.000000
H2O2, 208, 21, -1.000000
H2O, 273, 21, 1.000000
OH, 279, 21, -1.000000
HO2, 281, 21, 1.000000
